Destinasi
Dago Dreampark Lembang
Sungai Tamborasi Kolaka
Taman Nasional Rawa Aopa Watumohai
Air Terjun Tumburano
Pasar Basah Mandonga
Hutan Lambusango Buton
Pantai Walangkabola Muna
Desa Wisata Namu
Benteng Baadia Bau-bau
Taman Laut Olele
Wisata Hiu Paus Botubarani
Benteng Otanaha Gorontalo
Museum Pendaratan Pesawat Amfibi
Pantai Wisata Molotabu
Pantai Botubarani Gorontalo
Danau Limboto Gorontalo
Pantai Biluhu Gorontalo
Hutan Hungayono Gorontalo
Pulau Diyonumo Gorontalo
Citymall Gorontalo Gorontalo
Pantai Pohon Cinta
Air Terjun Lombongo
Wisata Pantai Leato
Patung Nani Wartabone
Masjid Agung Baitturahim
Pantai Oluhuta Gorontalo
Miguels Diving Gorontalo
Pia Saronde Gorontalo
River Tubing Dumoga
Negeri Diatas Awan Buntu Liarra
Wisata Alam Rawa Bangun
Bukit Jati Gentungan Mamuju
Pulau Karampuang Mamuju
Mangrove Rewataa Majene
Anjoro Pitu Mamuju
Pantai Lombang Lombang
Pantai Palippis Polewali
Pantai Dato Majene
Pantai Mampie Polewali
Gonda Mangrove Park
Pantai Wisata Labuang
Pantai Bahari Polewali
Pantai Wisata Lapeo
Air Terjun Limbong Kamandang
Air Terjun Tammasapi
Air Terjun Indo Rannuang
Anjungan Pantai Manakarra
Pantai Koa-koa Pasangkayu
Bandar Udara Tampa Padang Mamuju
Danau Sentarum Kapuas Hulu
Taman Nasional Gunung Palung
Taman Nasional Betung Karihun
Bukit Kelam Sintang
Pantai Batu Nenek Temajuk
Pantai Bajau Singkawang
Mimiland Batu Payung
Hutan Wisata Baning
Gerbang Pancur Aji Sanggau
Pantai Temajuk Sambas
Pantai Kijing Mempawah
Pantai Pulau Datok
Air Terjun Banangar
Pulau Randayan Bengkayang
Taman Bougenville Singkawang
Pantai Pasir Panjang
Bukit Jamur Bengkayang
Wisata Air Terjun Riam Budi
Pantai Kura-kura Bengkayang
Pulau Simping Singkayang
Balai Taman Nasional Sebangau Kalimantan
Sungai Arut Kotawaringin
Taman Nasional Tanjung Puting
Wisata Alam Jurung Tiga
Camp Leakey Kotawaringin
Taman Kota Sampit
Pondok Tanggui Kotawaringin
Sungai Mentaya Kotawaringin
Borneo Orangutan Survival Foundation (BOSF) Nyaru Menteng
Taman Pasuk Kameluh
Taman Wisata Alam Bukit Tangkiling
Danau Tahai Palangka Raya
Air Terjun Batu Mahasur
Taman Nasional Kayan - Mentarang
Pantai Ujung Pandaran
Wisata Danau Salju
Sungai Sekonyer Kotawaringin
Istana Kuning Kotawaringin
Pantai Kubu Kotawaringin
Museum Balanga Palangka Raya
Taman Labirin Pelaihari
Jembatan Gantung Nateh
Pasar Terapung Lok Baintan
Goa Batu Hapu
Goa Liang Tapah
Danau Biru Paring Tali
Waduk Riam Kanan
Hutan Kota Pinus Mentaos I
Wisata Roemah Kayu
Rumah Jomblo Banjar Baru
Taman Hutan Raya Sultan Adam
Bukit Telang Tanah Laut
Bukit Matang Kaladan
Bukit Tabuan Banjar
Air Terjun Mandin Damar
Pulau Sambergelap Kotabaru
Pulau Birahbirahan Kota Baru
Pantai Batakan Baru
Pulau Bakut Barito Kuala
Pulau Datu Tanah Laut
Kepulauan Derawan Kaltim
Pantai Sangalaki Kaltim
Pantai kemala Kaltim
Masjid Islamic Center Samarinda (MICS)
Museum Mulawarman Kutai Kartanegara
Bukit Bangkirai Kutai Kartanegara
Jembatan Repo Repo
Laguna Kehe Daing
Jessica Water Park
Caribbean Island Water Park
Ladang Budaya Tenggarong
Taman Bekapai Balikpapan
Rumah Ulin Arya
Mangrove Centre Graha Indah
Samboja Lestari Kutai Kartanegara
Museum Sedurengas Belengkong
Dahor Pusaka Balikpapan
Kedaton Kutai Kartanegara
Museum Batiwakkal Berau
Taman Lampion Mahakam
Air Terjun Binusan
Pantai Encing Nunukan
Pantai Kayuangin Kolaka
Pulau Sebatik Nunukan
Sungai Hitam Sebangau
Batu tumpuk Tanjung Palas Utara
Pantai Cemara Mangkupadi
Gunung Putih Bulungan
Pantai Kelapa Mangkupadi
Pantai Batu Lamampu
Air Terjun Semolon
Air Terjung Gunung Rian
Gunung Rian Sesayap
Museum Rumah Bundar Tarakan
Pasar Inpres Kebun Sayur
Pantai Binalatung Tarakan
Taman Oval Ladang
Desa Wisata Setulang
Taman Berlabuh Tarakan
Taman Selimau Bulungan
Pulau Maitara Maluku
Pantai Sulamadaha Ternate
Gunung Gamalama Ternate
Benteng Tolukko Ternate
Pantai Jikomalamo Ternate
Museum Kedaton Sultan Bacan
Taman Nukila Ternate
Pulau Halmahera Maluku
Teluk Jailolo Maluku
DanauNgade Ternate
Danau Tolire Ternate
Benteng Oranje Ternate
Masjid Sultan Ternate
Tanjung Dehegila Morotai
Villa Ake Tege Tege
Benteng Kota Janji
Ternate Wonder Island
Batu Angus Bitung
Geopark Boki Maruru
Pantai Kastela Ternate
Banda Maluku
Pantai Natsepa Maluku
Pantai Pintu Kota
Taman Nasional Manusela
Gunung Binaiya Maluku
Kepulauan Tanimbar Maluku
Lubang Buaya Morella
Benteng Belgia Maluku
Benteng Amsterdam Maluku
Benteng Nassau Maluku
Istana Mini Maluku
Benteng New Victoria
Benteng Duurstede Maluku
Air Asinahu Maluku
Batu Layar Maluku
Air Panas Tulehu
Batu Kapal Lilibooi
Patung Martha Christina Tiahahu
Gunung Siwang Maluku
Kolam Pemandian Evu
Piaynemo Raja Ampat
Pulau Yeben Raja Ampat
Pulau Mansinam Manokwari
Pantai Pasir Putih
Teluk Triton Kaimana
Desa Sauwandarek Raja Ampat
Pantai Saleo Raja Ampat
Taman Wisata Alam
Pantai Bakaro Raja Ampat
Kofiau Raja Ampat
Danau Framu yamuru
Danau Anggi Giji
Telaga Bintang Raja Ampat
Vihara Buddha Jayanti
Taman Wisata Mangrove Klawalu Sorong
Taman Nasional Teluk Cendrawasih
Sawing Rai Raja Ampat
Taman Sari Garden
Air Terjun Batanta
Wayag Raja Ampat
Puncak Jaya Mimika
Taman Nasional Lorentz
Pantai Harlen Jayapura
Pantai Hamadi Jayapura
Pantai Base-G Jayapura
Pantai Anggopi Papua
Pantai Sinokisi Jayapura
Pantai Bosnik Papua
Taman Nasional Wasur
Love Lake Jayapura
Puncak Trikora Jayawijaya
Air Terjun Wasfarak
Air Terjun Karmon
Monumen Kapsul Waktu
Menara Kota Jayapura
Monumen Perang Dunia II
Tugu Kembar Sabang-Merauke
Taman Budaya EXPO Waena
Taman Pholeuw Jayapura
Pasar Bosnik Papua
