Provinsi,Destinasi,Rating,Alamat,Detail,Jam Operasional,Biaya Masuk
Jawa Barat,Situ Patenggang Bandung,4.5,"Jln Ciwidey Ranca Bali, Desa Patengan, Ranca Bali, Bandung, Jawa Barat, 40973","Patenggang atau Situ Patengan adalah suatu danau yang terletak di kawasan objek wisata alam Bandung Selatan, Jawa Barat, Indonesia, tepatnya di Ciwidey. Terletak di ketinggian 1600 meter di atas permukaan laut, danau ini memiliki pemandangan yang sangat eksotik. Situ patenggang juga memiliki pemandangan alam yang asri, karena disekitarnya terdapat hamparan kebun teh.",Setiap Hari ( 08.00 - 20.00 WIB ),Rp 15.000 - Rp 20.000
Jawa Barat,Wana Wisata Situ Mustika,4.1,"JGQW+394, Karangpanimbal, Kec. Purwaharja, Kota Banjar, Jawa Barat 46332",Pusat rekreasi di hutan lebat dengan zona termasuk taman anggrek & danau untuk naik perahu dayung.,Setiap Hari ( 08.00 - 17.00 WIB ),Rp 15.000 - Rp 20 000
Jawa Barat,Bukit Gronggong Cirebon,4.3,"6G9C+XM9, Patapan, Kec. Beber, Kabupaten Cirebon, Jawa Barat 45172","Bukit Gronggong salah satu objek wisata alam yang menawan dan romantis di Cirebon, Jawa Barat. Bukit ini juga menjadi tempat yang pas menikmati gemerlap cahaya dari ketinggian yang menarik untuk Anda kunjungi.",Setiap Hari ( 24 Jam ),Rp 5.000
Jawa Barat,Agrowisata Kampung Nangorak,4.5,"Margamekar, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311","Kawasan Agroteknobisnis Nangorak Sumedang ini memiliki konsep agroeduteknowisata. Konsep Agroeduteknowisata KAS adalah wisata agro yang menawarkan sarana rekreasi alam sekaligus sarana pengenalan dan pendidikan terutama dalam teknik budidaya, dan produksi pertanian, peternakan, perikanan, perkebunan, dan kehutanan kepada sentuhan teknologi",Seiap Hari ( 24 Jam ),Rp 100.000 - Rp 350.000
Jawa Barat,Masjid Raya Bandung,4.7,"Jl. Dalem Kaum No.14, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251","Masjid Raya Bandung merupakan salah satu masjid agung yang menjadi sebuah destinasi wisata favorit bagi para turis domestik maupun mancanegara. Di masjid ini terdapat pemandangan alam yang indah serta pastinya terdapat pesona wisata religi tersendiri. Pengunjung dapat menikmati suasana islami hari ini hingga kapan pun dengan beragam kegiatan lain seperti; Iktikaf Bersama, Tafsir Al qur’an, Shalat Tsubuh berjamaah dan siraman rohani, Silaturahmi.",Setiap Hari ( 24 Jam ),Gratis
Jawa Barat,Kawah Putih Ciwidey,4.5,"Jl. Raya Soreang Ciwidey, Ciwidey, Bandung, Jawa Barat 40973","Kawah putih merupakan sebuah danau yang terbentuk dari letusan Gunung Patuha. Tanah yang bercampur belerang di sekitar kawah ini berwarna putih, lalu warna air yang berada di kawah ini berwarna putih kehijauan, yang unik dari kawah ini adalah airnya kadang berubah warna. Perairannya yang berwarna biru kristal berubah dengan kondisi cuaca, dan dilapisi dengan pasir putih halus, memberikan pengunjung pengalaman dunia lain. Bahkan vegetasi di sekitar area ini sangat berbeda dengan yang di bawah.",Setiap Hari ( 07.30 - 16.00 WIB ),Rp 27.000 - Rp 81.000
Jawa Barat,Museum Gedung Sate,4.6,"Jl. Diponegoro No.22, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115","Museum Gedung Sate adalah sebuah museum yang berada di Kota Bandung. Museum ini dibangun khusus untuk menjelaskan tentang sejarah Gedung Sate. Informasi lain yang disampaikan tentang Kota Bandung dan provinsi Jawa Barat. Konsep yang diberikan oleh Museum Gedung Sate adalah mengenai gaya arsitektur dan nilai sejarah dari gedung sate. Penerapan konsep diadakan secara bertahap mulai dari tahap prolog, eksplorasi hingga kontemplasi. Nilai sejarah disampaikan dengan teknologi digital yang interaktif. ",Selasa - Minggu ( 09.30 - 16.00 WIB ),Rp 5.000
Jawa Barat,Taman Nasional Gunung Ciremai,4.7,"3CV8+47Q, Babakanmulya, Kec. Jalaksana, Kabupaten Kuningan, Jawa Barat 45554","Taman Nasional Gunung Ciremai (disingkat TNGC) adalah sebuah kawasan konservasi yang terletak di provinsi Jawa Barat, Indonesia dengan luas kawasan 14.841,30 Hektar (Ha), tercantum di SK Penunjukan nomor: 424/menhut-ii/2004 tanggal 19 Oktober 2004. Gunung Ciremai adalah gunung soliter tertinggi di Jawa Barat dengan puncak tertinggi memiliki ketinggian 3.078 mdpl membentuk kerucut di sisi sebelah Utara. Secara geografis kawasan TNGC terletak pada 108' 19’ 18” – 108' 29’ 30” BT dan 6' 46’ 57” – 6' 58’ 57” LS.",Setiap Hari ( 01.00 - 19.50 WIB ),Rp 5.000 - Rp 225.000
Jawa Barat,Kawasan Punclut Bandung,4.5,"5J4C+RR5, Jl. Punclut, Ciumbuleuit, Kec. Cidadap, Kabupaten Bandung Barat, Jawa Barat 40142","Punclut yang merupakan singkatan dari Puncak Ciumbuleuit adalah salah satu kawasan yang terletak di sebelah utara Kota Bandung. Wisatawan dapat menikmati pemandangan alam dari Bandung Utara dengan udara yang masih sejuk karena jauh dari polusi udara di yang ada di daerah perkotaan. Sebagai kawasan wisata, Punclut juga dilengkapi dengan jajaran kios dan pedagang kaki lima di sisi kiri dan kanan jalan yang menjual berbagai macam pernak pernik mulai dari makanan sampai dengan keperluan rumah tangga. Kawasan Punclut juga menyajikan berbagai macam makanan tradisional khas Sunda seperti Nasi Timbel, tutut, sambal pecel dan makanan Sunda lainnya.",Senin - Minggu ( 08.00 - 24.00 ),Rp 10.000 - Rp 15.000
Jawa Barat,Curug Dago Bandung,4.1,"4JM9+Q7W, Jl. Dago Pojok, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",Curug Dago adalah wisata air terjun di Bandung yang memiliki nilai sejarah tinggi. Curug ini terbentuk oleh aliran sungai Cikapundung yang mengalir dari Maribaya ke Kota Bandung. ejak sejarah yang ada di tempat wisata di Bandung yang satu ini dapat dilihat dari adanya prasasti batu Kerajaan Thailand yang berasal dari abad ke 18. Prasasti batu ini bertuliskan nama raja yang diketahui bernama Raja Chulalongkom II (Rama V) yang berasal dari Thailand.,Senin - Minggu ( 08.00 - 17.00 ),Rp 12.000
Jawa Tengah,Candi Gedong Songo,4.5,"Jalan Ke Candi Gedong Songo, Candi, Krajan, Banyukuning, Bandungan, Kabupaten Semarang, Jawa Tengah 50614","Candhi Gedhong Sanga) adalah nama sebuah kompleks bangunan candi peninggalan budaya Hindu yang terletak di Semarang. Di kompleks candi ini terdapat sembilan buah candi. Lokasi sembilan candi yang tersebar di lereng Gunung Ungaran ini memiliki pemandangan alam yang indah. Selain itu, objek wisata ini juga dilengkapi dengan pemandian air panas dari mata air yang mengandung belerang, area perkemahan, dan wisata berkuda.",Setiap Hari ( 06.30 - 18.00 WIB ),Rp 6.000
Jawa Tengah,Grand Maerakaca Semarang,4.5,"Jl. Puri Anjasmoro, Tawangsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50114","Grand Maerakaca merupakan “Taman Mini” versi Jawa Tengah yang menyajikan replika dan miniatur bangunan khas dari berbagai daerah di Jawa Tengah. Selain itu, terdapat replika serta miniatur bangunan landmark tiap-tiap daerah. Tidak hanya miniatur bangunan, Grand Maerakaca juga menawarkan wahana hiburan menarik lainnya yang cocok untuk berbagai kalangan usia.",Setiap Hari ( 08.00 - 18.00 WIB ),Rp 10.000
Jawa Tengah,Pantai Baruna Semarang,4.0,"393X+X75, Bandarharjo, Kota Semarang, Jawa Tengah","Pantai Baruna merupakan salah satu pantai baru yang berada di Kota Semarang. Pantai ini juga dikenal dengan nama Pantai Sangklak dan juga pantai Nyamuk. Berbeda dengan pantai lain yang hanya terdiri dari hamparan pasir, pantai Baruna memiliki hamparan padang ilalang luas hingga sejauh mata memandang hanya ada rerumputan dan pepohonan di kejauhan.",Setiap Hari ( 05.00 - 22.00 WIB ),Rp 3.000
Jawa Tengah,Candi Borobudur Magelang,4.8,"Jl. Badrawati, Kw. Candi Borobudur, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah","Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi ini adalah Candi Budha terbesar di dunia, Borobudur berasal dari masa pemerintahan Dinasti Syailendra Kerajaan Medang pada abad ke-9. Situs Warisan Dunia UNESCO ini akan memukau Anda dengan strukturnya yang megah, detail relief yang rumit, dan 72 stupa — masing-masing berisi patung Buddha.",Setiap Hari (06.30 – 17.00 WIB ),Rp  50.000 - Rp 25.000
Jawa Tengah,Museum Purbakala Sangiran,4.5,"Kebayanan II, Krikilan, Kec. Kalijambe, Kabupaten Sragen, Jawa Tengah 57275","Museum Purbakala Sangiran adalah museum arkeologi yang terletak di Kalijambe, Kabupaten Sragen, Jawa Tengah, Indonesia. Museum ini berdekatan dengan area situs fosil purbakala Sangiran yang merupakan salah satu Situs Warisan Dunia UNESCO. Di museum dan situs Sangiran dapat diperoleh informasi lengkap tentang pola kehidupan manusia purba di Jawa yang menyumbang perkembangan ilmu pengetahuan seperti Antropologi, Arkeologi, Geologi, Paleoanthropologi. Di lokasi situs Sangiran ini pula, untuk pertama kalinya ditemukan fosil rahang bawah Homo erectus oleh arkeolog Jerman, Profesor Von Koenigswald.",Selasa - Minggu ( 08.00 - 16.00 WIB),Rp 8.000 - Rp 15.000
Jawa Tengah,Air Terjun Semirang,4.4,"Loket wisata, Gogik, Kec. Ungaran Bar., Kabupaten Semarang, Jawa Tengah 50551","Air Terjun Semirang merupakan salah satu wisata curug yang ada di Semarang. Air terjun ini terletak di kaki Gunung Ungaran. Dengan area sekitarnya penuh dengan pepohonan pinus yang asri. Selain itu, di sini juga terdapat beberapa satwa kecil yang sering berlalu lalang. Wisata air terjun ini memiliki nama lain yaitu Curug Semirang. Tidak hanya air terjun, wilayah ini juga dikelola sebagai kawasan wisata buatan.",Setiap Hari ( 08.00 - 17.00 WIB ),Rp 9.000
Jawa Tengah,Kraton Kasunanan Surakarta,4.6,"CRCH+P34, Baluwarti, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57144",Keraton Surakarta Hadiningrat atau Keraton Surakarta adalah Istana resmi Kesunanan Surakarta Hadiningrat yang terletak di Kota Surakarta. Keraton ini didirikan oleh Sri Susuhunan Pakubuwana II pada tahun 1744 sebagai pengganti Keraton Kartasura yang porak-poranda akibat Geger Pecinan pada tahun 1743.,"Senin - Kamis ( 09.00 - 14.00 WIB )
Sabtu - Minggu ( 09.00 - 15.00 WIB )",Rp 3.500 - Rp 15.000
Jawa Tengah,Wisata Baturaden Karangmangu,4.5,"Jl. Raya Baturaden No.174, Dusun I Karangmangu, Karangmangu, Kec. Baturaden, Kabupaten Banyumas, Jawa Tengah 53151","Baturraden adalah sebuah kecamatan di Kabupaten Banyumas, Provinsi Jawa Tengah, Indonesia. Kecamatan ini berjarak sekitar 7,5 Km dari Kota Purwokerto ke arah utara. Pusat pemerintahannya berada di Desa Rempoah. Kecamatan ini terletak di lereng selatan Gunung Slamet dan merupakan kawasan wisata.","Senin - Jumat ( 07.00 - 15.30 WIB )
Sabtu - Minggu ( 07.00 - 16.00 WIB )",Rp 20.000 - Rp 25.000
Jawa Tengah,Waduk Jatibarang Semarang,4.3,"X87X+32M, Jl. Moch Ihsan, Kedungpane, Kec. Mijen, Kota Semarang, Jawa Tengah 50211","Waduk Jatibarang adalah salah satu waduk yang berada di Semarang yang baru di bangun sekitar tahun 2014 lalu. Pembangunan Waduk Jatibarang ini bertujuan untuk mengatasi luapan air akibat banjir yang berada di seluruh wilayah Semarang. Selain menjadi pusat pengendalian air ketika air mulai tinggi di suatu wiliayah, waduk ini juga berfungsi sebagai area wisata alam. Kemudian di tengah tengah Waduk Jatibarang ini juga ada sebuah pulau kecil yang juga menjadi destinasi wisata yaitu Goa Kreo.",Setiap Hari ( 06.00 - 18.00 WIB ),Rp 3.000
Jawa Tengah,Kampoeng Djadhoel Semarang,4.7,"2CJJ+FQW, kp, Jl. Batik, rejomulyo, Rejomulyo, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50227","Kampoeng Djadhoel merupakan kampung yang terletak di Kampung Batik Tengah, Rejomulyo, Semarang, Jawa Tengah. Letak kampung ini mudah dijangkau karena berada di sekitar Kota Lama. Kampung ini dilukis dengan berbagai warna dan bentuk variasi yang menarik. Dari depan kampung sampai masuk dalam gang-gang berubah menjadi lebih berwarna dengan padu padan warna yang serasi. Tidak hanya menonjolkan pada lukisan warna tetapi untuk menjadikan pengunjung lebih tertarik adalah penyediaan spot foto yang telah didesain dengan properti unik. ",Setiap Hari ( 24 Jam ),Gratis
Jawa Tengah,Wisata Lereng Kelir,4.4,"M9PF+WVM, Jl. Ke Dusun Gertas, Gertas, Brongkol, Kec. Jambu, Kabupaten Semarang, Jawa Tengah 50663","Lereng Kelir adalah sebuah tempat wisata alam baru yang ada di Ambarawa, Jawa Tengah. Ambarawa sendiri memang sangat terkenal memiliki panorama alam yang masih sangat asri dan indah. Hal menarik yang bisa didapatkan dari tempat ini adalah Spot Foto, hiking yang menantang, hutan pinus, dan camping ground.",Setiap Hari ( 05.00 - 18.00 WIB ),Rp 5.000
Jawa Tengah,Dieng Plateau Banjarnegara,4.6,"Bakal Buntu, Bakal, Kec. Batur, Kab. Banjarnegara, Jawa Tengah","Dihyang merupakan kawasan budaya dan pegunungan di pulau Jawa di provinsi Jawa Tengah. Mencakup wilayah agraris yang memiliki iklim tropis dengan tingkat curah hujan tinggi. Karena terletak pada ±2.000 meter di atas permukaan laut dan dihimpit oleh pegunungan, sehingga udaranya cukup dingin.",Setiap Hari ( 24 Jam ),Rp 5.000 - Rp 10.000
Jawa Tengah,Pulau Panjang Jepara,4.5,"Ujungbatu I, Ujungbatu, Kec. Jepara, Kabupaten Jepara, Jawa Tengah","Pulau Panjang adalah pulau kecil yang berjarak 2.4 km dari Pantai Kartini, Kabupaten Jepara. Pulau ini memiliki sebuah mercusuar yang terletak di bagian barat dan tempat berpopulasi seperti dermaga dan masjid terletak di bagian timur, sementara bagian tengahnya adalah hutan tropis.",Setiap Hari ( 07.30 - 16.00 WIB ),Rp 25.000 - Rp 35.000
Jawa Tengah,Kampung Pelangi Semarang,4.3,"Jl. DR. Sutomo No.89, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244","Kampung Pelangi berada di belakang Pasar Kembang Kalisari, Semarang. Kampung ini memiliki warna-warni yang sangat eye-catching. Bukan cuma tembok rumah yang dipenuhi warna tetapi juga atap dan tiap sudut jalanan kampung.",Setiap Hari ( 24 Jam ),Gratis
Jawa Tengah,Wisata Mangrove Tapak,4.3,"28PX+Q2F, Tugurejo, Kec. Tugu, Kota Semarang, Jawa Tengah 50152","Hutan Mangrove Tapak terletak di Desa Tapak Kelurahan Tugurejo, Kecamatan Tugu, Kota Semarang. Wisata mangrove ini sekaligus menjadi salah satu upaya menyelamatkan pesisir yang semakin tergerus kepentingan bisnis. Prihatin dengan kondisi lingkungan desanya, penduduk setempat berupaya menyelamatkan lingkungannya. Ada 2 program utama yang mereka lakukan, yaitu pembuatan APO (alat pemecah ombak) dan penanaman mangrove di sepanjang pesisir desa dan pinggir Kali Tapak.",Setiap Hari ( 08.00 - 16.00 WIB ),Gratis
Jawa Tengah,Taman Nasional Karimunjawa,4.7,"5C2Q+CRQ, Karimunjawa, Kabupaten Jepara, Jawa Tengah","Taman Nasional Karimunjawa adalah sebuah taman nasional yang terletak di utara pulau Jawa. Wilayah taman nasional ini berada dalam administrasi Kabupaten Jepara. Pengelolaanya terdiri dari zona inti, zona perlindungan dan zona pemanfaatan.",Setiap Hari ( 06.00 - 17.00 WIB ),Rp 6.000
Jawa Tengah,Wisata Agro Puri Muria Colo,4.4,"8WM3+VXJ, Colo, Kec. Dawe, Kabupaten Kudus, Jawa Tengah 59353","tempat wisata di kudus yang pertama yanitu wisata colo kudus, wisata colo kudus merupakan sebuah kawasan tempat wisata alam di kudus yang berjarak sekitar 18 kilometer dari pusat kota kudus ke arah utara. tepatnya berada di kawasan pegunungan muria, Ds Colo, Kec. Dawe Kudus.",Setiap Hari ( 08.00 - 17.00 WIB ),Rp 5.000
Jawa Tengah,Desa Wisata Lembah Kalipancur,3.9,"Jl. Raya Kalipancur Manyaran, Kalipancur, Kec. Ngaliyan, Kota Semarang, Jawa Tengah 50183","Desa Wisata Lembah Kalipancur merupakan sebuah tempat wisata yang cukup luas, luasnya yakni kira-kira 7 hektar. Dengan menawarkan pemandangan yang sangat asri, dikelilingi perbukitan serta danau buatan. ",Selasa - Minggu ( 08.30 - 17.00 WIB ),Rp 3.000
Jawa Tengah,Ketep Pass Magelang,4.4,"Ketep Pas, Ketep, Kec. Sawangan, Kabupaten Magelang, Jawa Tengah 56481","Ketep Pass adalah nama sebuah objek wisata di Ketep, Sawangan, Magelang, Jawa Tengah. Ketep Pass ini merupakan objek wisata alam yang dikembangkan dengan ciri khas wisata kegunungapian, khususnya Gunung Merapi.Pada tanggal 17 Oktober 2002, Ketep Pass diresmikan sebagai kawasan wisata jalur Solo–Selo–Borobudur (SSB) oleh Presiden ke-5 Republik Indonesia, Megawati Soekarnoputri.",Setiap Hari ( 08.00 - 15.00 WIB ),Rp 10.500 - Rp 12.500
Jawa Tengah,Masjid Agung Ungaran,4.8,"VC75+XGG, Putotan, Sidomulyo, Kec. Ungaran Tim., Kabupaten Semarang, Jawa Tengah 50514","Masjid Agung Al-Mabrur di Ungaran ini merupakan Masjid Agung bagi kabupaten Semarang. Sebagai masjid agung kabupaten, masjid Agung Al-Mabrur di Ungaran ini menjadi pusat aktivitas ke-Islaman tingkat kabupaten Semarang. Masjid Agung Al-Mabrur juga menyelenggarakan pendidikan untuk anak anak melalui Taman Pendidikan Al-Qur’an. ",Setiap Hari ( 24 Jam ),Gratis
D.I.Yogyakarta,Nol Kilometer Yogyakarta,4.8,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Titik nol kilometer di Yogyakarta merupakan kawasan yang kerap dikunjungi wisatawan lantaran lokasinya dekat dengan beberapa tempat wisata. Tidak hanya itu, titik nol kilometer juga memiliki beberapa bangunan kuno dan suasana vintage yang membuat pengunjung senang berjalan-jalan di sana. Salah satu bangunan kuno di sana adalah Kantor Pos Besar Yogyakarta atau juga dikenal sebagai Kantor Pos Titik Nol. Kantor Pos Besar Yogyakarta memiliki gaya arsitektur khas Hindia Belanda yang dapat dilihat dari lucarne atau jendela kecil di kemiringan atap. Selain berfungsi sebagai ventilasi aliran udara, jendela tersebut juga berfungsi sebagai hiasan gedung.",Setiap Hari ( 24 Jam ),Gratis
D.I.Yogyakarta,Air Terjun Kedung Pedut,4.5,"Jl. Kutogiri Gunung Kelir, Kembang, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674","Air terjun Kedung Pedut merupakan salah satu keindahan nan eksotis dari kulonprogo Yogyakarta. Beberapa fasilitas pun sudah dibangun di kawasan ini seperti : kursi, jembatan dari kayu, warung-warung penjual makanan, musholla, toilet, dan ruang ganti dan masih banyak lagi. Meskipun belum lama di buka yaitu baru mulai tahun 2015, Air terjun kedung pedut ini mempunyai keunikan yang menjadi daya tarik tersendiri. Air yang jernih dan perpaduan warna tosca dan putih mampu memanjakan mata kita.",Setiap Hari ( 07.00 - 17.00 WIB ),Rp 5.000
D.I.Yogyakarta,Kraton Yogyakarta,4.6,"Jl. Rotowijayan Blok No. 1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta","Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Arsitek kepala istana ini adalah Sultan Hamengkubuwana I, pendiri Kesultanan Ngayogyakarta Hadiningrat. Dahulu bagian utama istana, dari utara keselatan, dimulai dari Gapura Gladhag di utara sampai di Plengkung[8] Nirboyo di selatan. Kini, bagian-bagian utama keraton Yogyakarta dari utara ke selatan adalah: Gapura Gladag-Pangurakan, Kompleks Alun-alun Ler dan Masjid Gedhe, Kompleks Pagelaran, Kompleks Siti Hinggil Ler, Kompleks Kamandhungan Ler, Kompleks Sri Manganti, Kompleks Kedhaton, Kompleks Kamagangan, Kompleks Kamandhungan Kidul, Kompleks Siti Hinggil Kidul, serta Alun-alun Kidul dan Plengkung Nirbaya yang biasa disebut Plengkung Gadhing.",Setiap Hari ( 08.00 - 14.00 WIB ),Rp 5.000 - Rp 7.500
D.I.Yogyakarta,Pantai Indrayanti Yogyakarta,4.5,"Desa Tepus, kecamatan Tepus, kabupaten Gunung Kidul di wilayah DIY Yogyakarta.","Pantai Indrayanti merupakan pantai cantik yang berada di Gunungkidul, Yogyakarta. Tak jauh dari pantai ini, ada deretan pantai lain yang tak kalah cantiknya seperti Pantai Omandeng, Sundak, Ngadong, dan Sadranan yang berlokasi tepat di sebelah timur. Pantai Indrayanti menawarkan pemandangan khas laut pantai selatan yang luas dengan air yang jernih. Pasir pantainya pun putih bersih, cocok buat main pasir. Pemandangan terbaik Pantai Indrayanti tak hanya saat sunset saja, tapi pada pagi hari pantai ini malah menawarkan suasana yang sejuk. Bukit-bukit di belakang garis pantai menjadi daya tarik tersendiri dengan deburan ombak.",Setiap Hari ( 24 Jam ),Rp 10.000
D.I.Yogyakarta,Candi Ijo Prambanan,4.7,"Jl. Candi Ijo, Nglengkong, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Candi Ijo adalah sebuah kompleks percandian bercorak Hindu, berada 4 kilometer arah tenggara dari Candi Ratu Boko atau kira-kira 18 kilometer di sebelah timur kota Yogyakarta. Kompleks percandian Ijo dibangun pada punggungan bukit yang disebut Gumuk/Bukit Ijo. Secara keseluruhan, kompleks candi merupakan teras-teras berundak, dengan bagian terbawah di sisi barat dan bagian tertinggi berada pada sisi timur, mengikuti kontur bukit.  Fasilitas yang ada disini antara lain toilet, area parkir, pos penjagaan, gazebo, dan spot foto yang menarik.",Setiap Hari ( 05.00 - 18.00 WIB ),Rp 5.000
