Destinasi,Gambar,Detail,Jam Operasional,Biaya Masuk,Penginapan,Preferensi 1,Preferensi 2
Crystal Bay Nusa Penida,https://drive.google.com/drive/folders/1uP6gyxkHClEex_O65F0bzdCSfFC6x4Kj?usp=sharing,Crystal Bay Nusa Penida merupakan tempat yang terkenal untuk scuba diving atau snorkeling. Disini juga terdapat batu karang yang spektakuler yang tepatnya berada di tengah teluk. Crystal Bay juga merupakan salah satu spot diving paling populer di pulau Nusa Penida saat musim panas karena saat itu pengunjung dapat  Mola Mola yang terkenal. ,Setiap hari ( 24 jam ) ,Rp5.000,"Astiti Penida Resort & Spa, Bintang Hostel & Homestay, Crystal Bay Beach Bungalow, dan Bale Lumbung Bungalows.",['pasangan'],wisata air
Pasih Uug,https://drive.google.com/drive/folders/15MbAgOT1WQ5JhaM7Ael7CF-Z7T9jmZJB?usp=sharing,"Broken Beach atau Pasih Uug merupakan tebing karang setinggi 200 meter yang menjorok ke lautan. Tebing ini mengalami abrasi selama berabad-abad, sehingga membentuk lubang pada bagian tengahnya yang tampak seperti gua raksasa. Tak seperti pantai pada umumnya, Pasih Uug tidak memiliki pasir putih untuk bermain atau berlarian, melainkan tebing terjal yang sangat menantang untuk dijelajahi. Bagi para wisatawan yang gemar akan petualangan, beberapa lokasi di sekitar Pasih Uug dapat dijadikan lokasi trekking dengan medan berbatu yang cukup terjal.",Setiap hari ( 24 jam ) ,Gratis,"Room at ceningan island close blue lagoon, The Puncak Sunset Ceningan Villa, Tatak Bunut Villa, Nusa Ceningan Bali, dan Ocean Brothers Ceningan.","['teman', 'keluarga', 'pasangan']",wisata air
Nusa Ceningan,https://drive.google.com/drive/folders/19H5LGQnOMBZUJq7EeLFtiL3tfY9yxaNI?usp=sharing,"Nusa Ceningan Bali merupakan bagian dari gugusan Pulau di Nusa Penida yang hanya memiliki luas 300,6 hektar. Pulau terkecil dari “Trio Nusa” ini posisinya berada di antara Penida dan Lembongan. Ceningan Island memiliki pura yang menjadi tempat suci bagi para penduduk setempat. Banyak hal menarik yang dapat Anda lakukan saat di Ceningan. Misalnya mengunjungi Ceningan Secret Beach, Pantai Blue Lagoon, melakukan snorkeling, bermain di Mahana Cliff Jumping Point, dan melihat kemegahan Jembatan Kuning.",Setiap hari ( 24 jam ) ,Gratis,"Room at ceningan island close blue lagoon, The Puncak Sunset Ceningan Villa, Tatak Bunut Villa, Nusa Ceningan Bali, dan Ocean Brothers Ceningan.","['keluarga', 'pasangan']",wisata air
Banah Cliff,https://drive.google.com/drive/folders/13vYgkhspuJZzLSHTw3aGu9jvGEwsRoIk?usp=sharing,"Banah Cliff merupakan merupakan salah satu tempat yang memiliki banyak pepohonan hijau di Pantai Banah. Disini terdapat sebuah tebing besar seperti membentu huruf N kecil karena bagian tengahnya berlubang. Sedangkan di bagian atasnya ditumbuhi pepohonan rindang, padahal aslinya tebing itu adalah batu kapur. Dari atas Banah Cliff, pengunjung dapat merasakan sensasi menakjubkan dan melihat pemandangan Manta Point",Setiap hari ( 24 jam ) ,Gratis,"Klingking Mesari Villa and Spa, Sentulan Garden, THE TAMBAN JUKUNG, dan Agasta Villa.","['teman', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Air Terjun Tegenungan,https://drive.google.com/drive/folders/1THbE7O_3CpSTDww6mnPe3XVXCs_wr--i?usp=sharing,"Air terjun Tegenungan adalah air terjun yang terdekat dengan kawasan tempat wisata Bali Selatan. Sebagian besar air terjun di Bali berlokasi di daerah pengunungan atau daerah yang memiliki dataran tinggi. Tetapi air terjun Tegenungan, berada di dataran rendah. Ketika sampai di lokasi parkir kendaraan, pengunjung akan melihat banyak toko-toko kecil yang menjual sovenir untuk oleh-oleh. Pengunjung juga akan melihat adanya warung-warung sederhana yang menjual makanan dan minuman. Tersedia mie goreng, makanan ringan dan kelapa muda.",Setiap hari ( 06.30 - 18.30 WITA ),Rp20.000,"Khayangan Kemenuh Villas by Premier Hospitality As, 3 BDR Luxury Design Villas at Ubud HOT DEAL, 3BDR Beautiful villas in Ubud, dan Batuan Villa.","['teman', 'pasangan']",pegunungan dan pedesaan
Hidden Canyon Beji Guwang,https://drive.google.com/drive/folders/13bowU_T-AQ8MdMNOer3yYRbAWHHWaoo2?usp=sharing,"Hidden Canyon Beji Guwang Sukawati adalah objek wisata alam di Pulau Bali berupa ngarai (canyon) atau lembah yang dalam dan sempit dengan lereng yang sangat curam akibat erosi. Dilokasi sumber air suci ini juga terdapat penjual makanan dan minuman mulai dari tipak cantok, rujak, coca cola, snack makanan ringan hingga makanan khas bali pun tersaji.",Setiap hari ( 08.00 - 17.00 WITA ),Rp 7.000 - Rp 17.000,"Tiis Garden Puri Villas, @5BR Quite & Peaceful Large Private Villa, 5BR Private Family Luxury Room, dan KW 5BR Quite & Peaceful Large Private Villa.","['sendiri', 'pasangan']",pegunungan dan pedesaan
Bukit Campuhan Ubud,https://drive.google.com/drive/folders/10HJs47pjdc8TukqhKSVrTt9okUuwH2a-?usp=sharing,"Bukit Campuhan atau Campuhan Ridge Walk merupakan destinasi wisata yang fotogenik dan instagramable. Tempat ini menawarkan pemandangan hijau yang menyegarkan mata. Aktivitas yang dapat dilakukan disini antara lain melihat sunrise, bersepeda, dan Pergi Ke Ubud Palace atau Puri Saren Agung. ",Setiap hari ( 24 jam ) ,Gratis,"Beautiful Place in the Hill with Pool, Good Location Guesthouse in the Centre of Ubud, Triple Room near Campuhan Ridge Walk with Pool, dan Anini Raka Resort & Spa.","['teman', 'pasangan']",pegunungan dan pedesaan
Pura Tirta Empul,https://drive.google.com/drive/folders/1deWmFRh2OBbhO6NwLSYJ73HKJsBgUhsk?usp=sharing,"Pura Tirta Empul adalah pura Hindu di tengah pulau Bali, Indonesia, tepatnya di Desa Manukaya. Pura Tirta Empul dibangun disekililing sebuah sumber mata air yang besar pada 962 M selama wangsa Warmadewa oleh raja Sri Candrabhayasingha Warmadewa. Untuk sebagian besar waktu, Tirta Empul diyakini sebagai sumber air bersih yang dianggap sebagai air suci yang digunakan untuk ritual Hindu. ",Setiap hari ( 09.00 - 17.00 WITA ),Rp30.000,"Pondok Yana, Sebatu Tulen Villa, Uma Kakul Villa, dan RamaSita Suite @ Villa Rimba Ubud.","['teman', 'pasangan']",situs bersejarah dan religi
Candi Tebing Gunung Kawi,https://drive.google.com/drive/folders/1njn_Tj4bdEg69R4Nth7KF7HNjWLqbK5K?usp=sharing,"Candi Gunung Kawi atau Candi Tebing Kawi adalah situs purbakala yang dilindungi di Bali. Candi ini berupa pahatan di dinding tebing batu padas ditepi sungai. Candi Gunung Kawi Memiliki sekitar 315 anak tangga di tubir Sungai Pakerisan. Suasana asri yang tampak dari rerimbunan pohon di tepi sungai, juga gemericik air dari sungai yang dikeramatkan di Bali ini membuat pengunjung seolah disambut oleh simfoni alam. Anak tangga-anak tangga untuk menuju Candi Gunung Kawi ini terbuat dari batu padas yang dibingkai dengan dinding batu.",Setiap hari ( 08.00 - 18.00 WITA ),Rp30.000,"Aksari Resort Ubud, Casa d'Oriente (whole villa), RamaSita Suite @ Villa Rimba Ubud, dan Villa Rimba Ubud (Suites and Villas).",['keluarga'],situs bersejarah dan religi
Mandala Suci Wenara Wana (Ubud Monkey Forest),https://drive.google.com/drive/folders/1bxr5oRK0Ad7waSNN_x20sjJS_qbiamiH?usp=sharing,"Mandala Suci Wenara Wana atau disebut juga Monkey Forest Ubud merupakan sebuah tempat cagar alam dan kompleks candi. Di tempat ini mempunyai kurang lebih 749 ekor monyet ekor panjang. Ada enam kelompok monyet yang menempati wilayah berbeda di hutan ini yaitu grup Pura, grup Hutan Baru, grup Sentral Point, grup timur, grup Michelin dan grup Kuburan. Monkey Forest Ubud ini pun juga terdapat tiga pura yang bernama Pura Dalem Agung Padangtegal, Pura Beji dan Pura Prajapati. ",Setiap hari ( 09.00 - 17.00 WITA ),Rp 25.000 - Rp 80.000,"Anumana Ubud Hotel, Ubud Tropical Garden, Sarin Ubud Suite by Pramana Villas, dan Tegal Sari Accomodation.","['sendiri', 'teman', 'keluarga', 'pasangan']",situs bersejarah dan religi
Pulau Serangan,https://drive.google.com/drive/folders/1njKYPns0IjLbOe2EYaeMxDtKuAC-h30s?usp=sharing,"Serangan adalah sebuah kelurahan dan pulau yang berada di wilayah Kecamatan Denpasar Selatan. Pulau ini banyak dikenal akan kura-kuranya dan terhubung ke Pulau Bali melalui jembatan. Di pulau ini terdapat Pura Sakenan, 1 dari 6 pura paling suci di Bali. Di samping itu, terdapat komunitas Muslim dari suku Bugis yang sudah lama menetap di pulau ini.",Setiap hari ( 09.00 - 17.00 WITA ),Rp 5.000 - Rp 10.000,"The Dream Home Wooden Classic Villa, Paras Paros Marina Lodge, OYO 90363 Nira Guest House Sanur Bali, dan OYO 3775 Ketut Inn.",['keluarga'],wisata air
Pantai Pandawa,https://drive.google.com/drive/folders/1mIPt2J5ittA9rJN-QpgC_hmNdGtShyrn?usp=sharing,"Pantai Pandawa adalah salah satu kawasan wisata di area Kuta Selatan. Pantai ini terletak di balik perbukitan dan sering disebut sebagai Pantai Rahasia (Secret Beach). Di sekitar pantai ini terdapat dua tebing yang sangat besar yang pada salah satu sisinya dipahat lima patung Pandawa dan Kunti. Keenam patung tersebut secarara berurutan (dari posisi tertinggi) diberi penejasan nama Dewi Kunti, Dharma Wangsa, Bima, Arjuna, Nakula, dan Sadewa. Selain untuk tujuan wisata dan olahraga air, pantai ini juga dimanfaatkan untuk budidaya rumput laut karena kontur pantai yang landai dan ombak yang tidak sampai ke garis pantai. ",Setiap hari ( 08.00 - 18.00 WITA ),Rp8.000,"Pandawa Cliff Estate, Sohamsa Ocean Estate, 4 BDR Upala Villa In Jimbaran, dan Upala Cliff Villa.","['teman', 'pasangan']",wisata air
Garuda Wisnu Kencana,https://drive.google.com/drive/folders/1d9p6maXHbK3psX33qx1PdykUISaNm65U?usp=sharing,"Patung Garuda Wisnu Kencana (GWK) adalah sebuah tempat wisata yang terletak di Taman Budaya Garuda Kencana atau GWK yang terletak di bagian selatan Pulau Bali. Dirancang untuk menjadi patung tertinggi di Indonesia, Garuda Wisnu Kencana terinspirasi oleh cerita dari mitologi Hindu tentang pencarian Amrita (ramuan kehidupan). ",Setiap hari ( 10.00 - 18.00 WITA ),Rp125.000,"Akhyana Village, Akyana Villas, Casa Asia, dan 3 Bedrooms Villa Bay.","['sendiri', 'teman', 'pasangan']",wisata kota
Desa Penglipuran,https://drive.google.com/drive/folders/1H2zytne1enlR0skqCgARsRXHDU92-7ya?usp=sharing,"Desa adat Penglipuran merupakan sebuah komplek pemukiman penduduk yang ramah lingkungan, bangunan-bangunan tertata rapi dibangun di atas luas lahan yang sama, pintu utama (angku-angkul) berbentuk sama dan simetris, suasana perkampungan yang unik dan indah. Desa Penglipuran Bangli  memiliki tata ruang yang konseptual, membuatnya tampil unik, perumahan tertata sangat rapi, jalanan bersih dan tenang tanpa kendaraan bermotor. Sebuah tempat parkir disediakan untuk kendaraan anda baik itu mobil ataupun bus pariwisata.",Setiap hari ( 24 jam ) ,Rp 10.000 - Rp 30.000,"Asli Bali Villa, Pondok Yana, De Umah Bali Eco Tradi Home, dan D''Sari Undisan Houses.",['keluarga'],pegunungan dan pedesaan
Bukit Nanggi,https://drive.google.com/drive/folders/1-yEUZkOvTTmZ6BvJAhPTE8ym7P4V3dbQ?usp=sharing,"Bukit Nanggi merupakan bukit tertinggi yang ada di Sembalun dengan ketinggian total sekitar 2.300 mdpl, mirip dengan Gunung Tambora. Daya tarik yang ada di tempat wisata ini antara lain pemandangan yang alami, titik puncak yang menantang, kawasan pegunungan yang memukau, dapat melihat sunrise dan sunsite, serta area camping yang bagus. ",Setiap hari ( 24 jam ) ,Rp10.000,"Paer Doe Homestay RedPartner, Bale Sembahulun Cottages and Tent, Paer Doe Bungalow RedPartner, dan Teras Sawah Guest House Syariah RedPartner.","['teman', 'pasangan']",pegunungan dan pedesaan
Bukit Pergasingan,https://drive.google.com/drive/folders/1IIXbJ7eQH8h9GcbehQ8A80r-yt7XtLeM?usp=sharing,"Bukit Pergasingan merupakan salah satu jejeran bukit yang ada di kawasan lingkar Gunung Rinjani. Yang menjadi keunggulan Bukit Pergasingan dibandingkan bukit-bukit lain yang ada di kawasan TNGR adalah panorama yang disuguhkan selama pendakian. Para pendaki disuguhkan pemandangan Desa Sembalun dan berpetak-petak sawah warga sekitar yang berwarna warni, serta jejeran bukit-bukit lainnya yang mengelilingi Gunung Rinjani.",Setiap hari ( 24 jam ) ,Rp15.000,"Wisata Rinjani Villa Syariah RedPartner, Nuansa Rinjani Bungalow RedPartner, Radiya Guesthouse, dan Rinjani INN RedPartner.","['sendiri', 'keluarga']",pegunungan dan pedesaan
Bukit Merese,https://drive.google.com/drive/folders/1X1JsZJ_CHOSoSOzo65qvMQr7yOTtXnsb?usp=sharing,"Bukit Merese atau warga setempat menyebutnya Merisik yang artinya bukit gundul. Disebut gundul karena tidak ditemui pepohonan di atasnya, hanya satu buah pohon di ujung barat bukit yang oleh para pengunjung sering disebut Pohon Galau. Pengunjung dapat melihat sunset di ufuk barat dengan langit yang berwarna senja, hijaunya rerumputan, garis pantai pasir putih Tanjung Aan dan birunya air laut Lombok bagian selatan, Pantai Tanjung Bongo yang tersembunyi ditambah lagi dengan kerbau yang berbaris rapi melintasi bukit ini.",Setiap hari ( 06.00 - 18.00 WITA ),Gratis,"Villa Alasa, The Villas at Novotel Lombok, Novotel Lombok Resort & Villas, dan Duyung Rooms and Resto.",['teman'],pegunungan dan pedesaan
Bukit Seger Kuta,https://drive.google.com/drive/folders/1VWu3G8yCC_WwVCR_LUClruk-92cdWrjv?usp=sharing,"Bukit Seger Kuta merupakan destinasi wisata kombinasi antara bukit dan juga pantai. Daya tarik yang ada di tempat wisata ini antara lain bisa melakukan snorkeling, berenang, berselancar, menikmati pemandangan alam yang menawan, dan menyaksikan ritual Bau Nyale. Fasilitas yang disediakan antara lain warung makan, penginapan sederhana, lokasi parkir, toilet, kamar ganti, tempat untuk istirahat, jembatan, pondok-pondok, dan patung yang dibangun untuk mengenang sejarah dan tradisi.",Setiap hari ( 24 jam ) ,Rp 5.000 - Rp 10.000,"The Villas at Novotel Lombok, Novotel Lombok Resort & Villas, Pullman Lombok Mandalika Beach Resort, dan Kuta Cabana Lodge.",['pasangan'],pegunungan dan pedesaan
Gunung Rinjani,https://drive.google.com/drive/folders/11OhWwkTpkT842hd90FQtNzyyTGVWXyb0?usp=sharing,"Gunung Rinjani merupakan gunung berapi kedua tertinggi di Indonesia dengan ketinggian 3.726 mdpl. Gunung Rinjani dialasi oleh batuan sedimen klastik Neogen (termasuk batu gamping), dan setempat oleh batuan gunungapi Oligo-Miosen. Pendakian Gunung Rinjani (puncak) merupakan salah satu objek wisata yang menjadi andalan di kawasan Taman Nasional Gunung Rinjani karena pemandangannya yang menakjubkan.",Setiap hari ( 24 jam ) ,Rp 5.000 - Rp 7.500,"Simply Studio at Urbantown Serpong By Travelio, Cozy Living Studio Urbantown Serpong By Travelio, Minimalist Studio at Urbantown Serpong By Travelio, dan New and Simply Studio at Urbantown Serpong Apartme.","['teman', 'pasangan']",pegunungan dan pedesaan
Bukit Selong,https://drive.google.com/drive/folders/19FwXLAoWJ6Y-F_Ymq-tVEuuohMTqBPrE?usp=sharing,"Bukit Selong merupakan wisata alam yang bersejarah. Bukit Selong berada di Desa Sembalun Lawang, Lombok Timur, NTB; tepatnya berada di kaki Gunung RinjaniBukan hanya menawarkan tentang keindahan alam terbuka saja, namun sajian sejarah dan budaya, adalah bonus wisata saat berada di Bukit Selong. Fasilitas yang ada di tempat ini antara lain toilet, area parkir yang cukup luas, kedai penjual makanan, warung kopi serta area camping. ",Setiap hari ( 24 jam ) ,Rp3.000,"Rinjani INN RedPartner, Nuansa Rinjani Bungalow RedPartner, Radiya Guesthouse, dan Sembalun Homestay Lombok.","['teman', 'pasangan']",pegunungan dan pedesaan
Air Terjun Benang Kelambu,https://drive.google.com/drive/folders/157hUfPyMClsjGFBfsABVZXlWHgLti3J3?usp=sharing,"Air Terjun Benang Kelambu merupakan air terjun yang terletak di kawasan Geopark Rinjani. Air terjun ini telah diakui oleh UNESCO sebagai Taman Bumi Dunia. Air terjun ini berasal dari banyak mata air yang keluar melalui celah di sepanjang tebing. Namun, tebing yang tertutup dengan tumbuhan subur terlihat seakan air keluar dari situ. Itu sebabnya dinamakan Air Terjun Benang Kelambu. Lapisan tipis air terjun berwarna putih terlihat begitu menawan, persis seperti tirai kelambu yang menjuntai. Fasilitas yang tersedia di sini cukup memadai, terdapat area parkir, toilet, kamar ganti, tempat berteduh, kursi taman, warung makan dan minuman, gazebo, dan juga spot foto. ",Setiap hari ( 07.00 - 17.30 WITA ),Rp10.000,"Tereng wilis homestay, Tereng wilis bungalows, Tetebatu Garden Bungalow RedPartner, dan Tetebatu Indah Homestay.","['teman', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Mangku Sakti Water Fall,https://drive.google.com/drive/folders/1jhjV6DQ56Y_MNcye7EfGcNK2DcXCptJG?usp=sharing,Mangku Sakti Water Fall merupakan air terjun yang anti-maintream dengan air yang tak jernih melainkan berwarna hijau toska. Hal tersebut karena campuran belerang pada air terjun. Aliran air terjun Mangku Sakti berasal dari Kokoq Puteq yang airnya langsung dari Danau Segara Anak di Gunung Rinjani. Aktivitas yang dapat dilakukan disini antara lain berenang dan berendam. Sebab air disini masih terbilang alami karena belum terkontaminasi oleh senyawa kimia maupun sampah. ,Setiap hari ( 24 jam ) ,Rp5.000,"The Gate Rinjani, Rinjani Lodge, RedDoorz near Senaru Rinjani, dan Bale Sebaya Bungalow.","['teman', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Telaga Madu Waterfalls,https://drive.google.com/drive/folders/1ZGtEmbmw9X-OFVY_HG5j8NeXK930f-VM?usp=sharing,"Seperti air terjun dari aliran kokok Putek, airnya putih mengandung belerang. Kolam jatuhan airnya lumayan luas. Teman-teman bisa mandi dan berenang. Tetep safety no 1 ya. Jangan mandi di bawah jatuhan air.Jalan ke sini mohon dengarkan apa ada orang sedang potong kayu di atas. pernah kayu jatuh saat kami jalan. Alhamdulillah gak kena .di atas sungai ada kebun warga.Mohon kunjungi saat musim kering karena sungai ini besar dari atas. You never know apa yg terjadi kalo hujan sangat besar di hulu.Ke sini perlu persiapan karena treknya ada yang curam terutama di jalur ke umar maya.Bawa bekal air & snack cukup karena cuaca di sini cenderung panas",Setiap hari ( 24 jam ) ,Rp. 20.000,"RedDoorz near Senaru Rinjani, Bale Sebaya Bungalow, The Gate Rinjani, dan The Gate Rinjani.","['keluarga', 'pasangan']",pegunungan dan pedesaan
Gili Air,https://drive.google.com/drive/folders/1R1PIsSgDqdfXUyRoh-Y09Y36eGcy3_LP?usp=sharing,"Gili Air merupakan salah satu dari tiga pulau gili terkenal di Lombok, yaitu Gili Trawangan, dan Gili Meno. Berkunjung ke Gili Air wisatawan dapat menjelajahi beberapa titik untuk menikmati keanekaragaman hayati laut Indonesia. Diantaranya pengunjung dapat melihat spot kuda laut, kura-kura, beragam ikan dengan berbagai warna, serta keanekaragaman penghuni laut lainnya. Fasilitas wisata di Gili Air sangat lengkap,terdapat fasilitas seperti hotel, restoran, maupun bar, sehingga dapat membuat wisatawan nyaman berkunjung ke pulau ini. ",Setiap hari ( 24 jam ),Rp 12.000 - Rp 24.000,"Balenta bungalows gili meno,  Villa Pulau Cinta, The this-kon Gili Meno, dan Vila kinagu.","['teman', 'keluarga', 'pasangan']",wisata air
Gili Meno,https://drive.google.com/drive/folders/1UUo1cTs8_KRZxldV13anC4kKpEw6zRMP?usp=sharing,"Gili Meno adalah salah satu dari tiga pulau kecil, selain Gili Trawangan dan Gili Air, yang menjadi kawasan wisata bahari. Di sini terdapat taman burung yang mempunyai koleksi burung-burung langka dari Indonesia dan mancanegara. Pasirnya putih dan masih alami. Di Gili ini pengunjung bisa snorkeling atau berenang sembari menikmati karang dan biodiversitasnya. Di Pulau ini menyajikan kicauan-kicauan burung yang mampu menenangkan hati dan pikiran.",Setiap hari ( 24 jam ),Gratis,"Balenta bungalows gili meno,  Villa Pulau Cinta, The this-kon Gili Meno, dan Vila kinagu.","['teman', 'keluarga', 'pasangan']",wisata air
Pantai Tanjung Aan,https://drive.google.com/drive/folders/1RNARqFrVtOkzGakaAdZoH_T1dHAoNXNy?usp=sharing,"Pantai Tanjung Aan merupakan pantai yang berhadapan langsung dengan samudera hindia, mempunyai garis pantai yang melengkung panjang sekitar 2 km jaraknya. Di pantai ini butiran pasirnya berbentuk bulat-bulat besar seperti layaknya biji merica. Sehingga sebagian masyarakat lokal menyebutnya sebagai pantai merica atau pantai tepung. Warna biru tua dan hijau tosca air laut nan jernih akan membuat decak kagum bagi siapapun yang melihat secara langsung keindahan Pantai Tanjung Aan. Terdapat ayunan dari bilahan kayu yang disusun sedemikian rupa, yang menancap ditengah-tengah air laut dangkal. Pengunjung dapat berenang dan snorkeling.",Setiap hari ( 24 jam ),Gratis,"Villa Alasa, One Stop Lombok, Duyung Rooms and Resto, dan The Villas at Novotel Lombok.","['teman', 'pasangan']",wisata air
Gili Nanggu,https://drive.google.com/drive/folders/1Dfrth1lbYCiZVB4sL3Y_48GIakLAHV2p?usp=sharing,"Gili Nanggu merupakan pulau yang terletak di Selat Lombok atau di pesisir barat Pulau Lombok. Layaknya panorama gili lainnya, Gili Nanggu juga punya hamparan pasir putih nan lembut dengan air laut yang berwarna gradasi biru jernih.Tak cuma itu, suasananya yang begitu tenang membuat Gili Nanggu kerap dipilih sebagai destinasi bulan madu bagi pengantin baru. Selain panorama alamnya yang memukau, pengunjung juga bisa melakukan sejumlah kegiatan seru di Gili Nanggu. Dari sekadar menikmati percikan ombak dan sun bathing, plesir ke pulau-pulau kecil di sekitar Gili Nanggu, berburu foto keren, dan hingga menjajal olahraga air seperti snorkeling atau diving. ",Setiap hari ( 24 jam ),Rp5.000,"Balenta bungalows gili meno,  Villa Pulau Cinta, The this-kon Gili Meno, dan Vila kinagu.","['teman', 'keluarga', 'pasangan']",wisata air
Pink Beach,https://drive.google.com/drive/folders/1keO0R2H1fmOXRiSsflt7AwYlEFN5F1e3?usp=sharing,"Pink beach atau pantai pink merupakan pantai dengan pasir pantai berwarna pink. Warna pink pada pasirnya sendiri berasal dari butir-butir asli warna putih pasir, bercampur dengan terumbu karang berwarna merah yang sudah mati. Selain bermain-main di Pink beach, Labuan Bajo, aktivitas favorit lainnya adalah melakukan snorkeling dan diving. Berbagai jenis terumbu karang dan ragam ikan yang indah, bisa kamu nikmati di taman bawah lautnya.",Setiap hari ( 24 jam ),Rp10.000,"Jeeva Beloam Beach Camp Resort, OYO 1837 Telone Bungalow, Ekas Breaks Resort, dan Ekas Garden Bungalow.",['pasangan'],wisata air
Desa Sembalun,https://drive.google.com/drive/folders/1JOctEiyX4zV236ZSWdrEhqdUb6YUuVuy?usp=sharing,"Kecamatan ini terdiri dari 6 desa yaitu Desa Sembalun Bumbung, Desa Sembalun Lawang, Desa Sajang, Desa Bilok Petung, Desa Sembalun, dan Desa Sembalun Timba Gading.Ibu kota Kecamatan Sembalun berada di Desa Sembalun Lawang, yang berjarak sekitar 45 km dari ibu kota Kabupaten Lombok Timur ( Selong ). Desa Sembalun Bumbung memiliki wilayah terluas yaitu 57,97 Km2 atau sekitar 26,70 % dari keseluruhan luas wilayah Kecamatan Sembalun, dan yang tekecil adalah Desa Sembalun Timba Gading dengan luas 15,76 Km2 .Desa-desa yang berada di Kecamatan Sembalun memiliki ketinggian yang bervariasi antara 800 hingga 1.200 meter di atas permukaan laut. Jarak tempuh tiap desa ke ibu kota kecamatan relatif dekat, jarak yang paling jauh yaitu dari Desa Sajang dan Desa Bilok Petung yang mencapai 6 km dan 15 km. Sedangkan jarak terdekat ke ibu kota kecamatan adalah Desa Sembalun yaitu 0.025 km (25 m), karena kantor kecamatan ada di dasa tersebut.",Setiap hari ( 24 jam ),Rp5.000,"Simply Studio at Urbantown Serpong By Travelio, Cozy Living Studio Urbantown Serpong By Travelio, Minimalist Studio at Urbantown Serpong By Travelio, dan New and Simply Studio at Urbantown Serpong Apartme.","['teman', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Desa Bayan Sasak,https://drive.google.com/drive/folders/1lj6Q8PHkULVdrGPVyPVzf-R7q7NTFm1r?usp=sharing,Desa Bayan Sasak merupakan pemukiman asli Suku Sasak yang hingga saat ini masih memegang teguh adat istiadat dan tradisi leluhur. Hal ini nampak dari arsitektur mereka yang masih sangat sederhana. Masyarakat Desa Bayan juga dikenal sangar ramah kepada siapa saja. Mereka akan mengundang siapapun yang ingin duduk di Berugaq rumahnya untuk ngobrol sambil mencicipi hidangan khas yang mereka sediakan. ,Setiap hari ( 24 jam ),Rp2.000 - Rp6.000,"RedDoorz near Senaru Rinjani, Bale Sebaya Bungalow, Angin Mamiri Rinjani Cottages And Resto, dan Rinjani Lodge.","['teman', 'keluarga']",pegunungan dan pedesaan
Wisata Alam Aiknyet,https://drive.google.com/drive/folders/18TI8M-SBzySqyShlUu2FDSi97v1fhBms?usp=sharing,"Aik Nyet Sesaot yang merupakan sebuah pemandian alami di Desa Sesaot. Ketika  pertama kalinya datang ke tempat ini, suasana menyegarkan khas pegunungan akan menyapa dari langkah pertama. Hutan rimbun nan hijau akan menjadi pemandangan yang didapatkan selama perjalanan menuju pemandian. ",Setiap hari ( 24 jam ),Rp5.000,"Zifana Private Villa, Kost pak made, OYO 1427 Azzahra Guest House, dan Footprints Backpacker.","['sendiri', 'pasangan']",pegunungan dan pedesaan
Batu Payung,https://drive.google.com/drive/folders/1wcPds788y3E28wEN1zgUozQiEQRpI9ud?usp=sharing,"Batu Payung merupakan batuan pyroklastik yang dalam ilmu geologi namanya tufa atau lapili dengan sisipan batu gamping. Seperti namanya Batu Payung, disini terdapat batu nesar yang mirip payung. Bagian bawah terlihat ramping kemudian bagian atas melebar sehingga Anda bisa berteduh di bawahnya layaknya payung.",Setiap hari ( 24 jam ),Rp5.000,"Urban Style by Front One, Cendrawasih Syariah Homestay, Pringombo Homestay 2, dan OYO 90404 Pringombo Homestay 2 Syariah.",['keluarga'],situs bersejarah dan religi
Goa Bangkang Prabu,https://drive.google.com/drive/folders/1EHUgrpv6avqU3kok_Ptmnn3xwyTcEoOi?usp=sharing,"Goa Bangkang Prabu merupakan salah satu goa yang memiliki spot foto yang paling unik. Disekeliling goa, terdapat perbukitan dengan hutan yang hijau karena banyaknya tumbuhan dan pepohonan. Bagi para wisatawan yang berada di Lombok, jika telah merasa bosan dengan pantai-pantai yang terlihat di berbagai tempat, lokasi ini cocok untuk menjadi alternatif. Daya tarik yang paling menonjol dari obyek wisata ini adalah spot fotonya. Yaitu spot goa yang langit-langitnya dimasuki sinar dari atap goa. Penampakannya seperti efek cahaya yang turun dari langit. ",Setiap hari ( 07.00 - 18.00 WITA ),Rp10.000,"RedDoorz @ Mawun Street Kuta, Mursys Place, Village Vibes Lombok, dan OYO 1402 Hallway Homestay.","['teman', 'keluarga']",situs bersejarah dan religi
