Destinasi,Detail,Preferensi 2
Grand Maerakaca,"Grand Maerakaca merupakan “Taman Mini” versi Jawa Tengah yang menyajikan replika dan miniatur bangunan khas dari berbagai daerah di Jawa Tengah. Selain itu, terdapat replika serta miniatur bangunan landmark tiap-tiap daerah. Tidak hanya miniatur bangunan, Grand Maerakaca juga menawarkan wahana hiburan menarik lainnya yang cocok untuk berbagai kalangan usia.",wisata kota
Pantai Baruna,"Pantai Baruna merupakan salah satu pantai baru yang berada di Kota Semarang. Pantai ini juga dikenal dengan nama Pantai Sangklak dan juga pantai Nyamuk. Berbeda dengan pantai lain yang hanya terdiri dari hamparan pasir, pantai Baruna memiliki hamparan padang ilalang luas hingga sejauh mata memandang hanya ada rerumputan dan pepohonan di kejauhan.",wisata air
Candi Borobudur,"Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi ini adalah Candi Budha terbesar di dunia, Borobudur berasal dari masa pemerintahan Dinasti Syailendra Kerajaan Medang pada abad ke-9. Situs Warisan Dunia UNESCO ini akan memukau Anda dengan strukturnya yang megah, detail relief yang rumit, dan 72 stupa — masing-masing berisi patung Buddha.",situs bersejarah dan religi
Museum Purbakala Sangiran,"Museum Purbakala Sangiran adalah museum arkeologi yang terletak di Kalijambe, Kabupaten Sragen, Jawa Tengah, Indonesia. Museum ini berdekatan dengan area situs fosil purbakala Sangiran yang merupakan salah satu Situs Warisan Dunia UNESCO. Di museum dan situs Sangiran dapat diperoleh informasi lengkap tentang pola kehidupan manusia purba di Jawa yang menyumbang perkembangan ilmu pengetahuan seperti Antropologi, Arkeologi, Geologi, Paleoanthropologi. Di lokasi situs Sangiran ini pula, untuk pertama kalinya ditemukan fosil rahang bawah Homo erectus oleh arkeolog Jerman, Profesor Von Koenigswald.",situs bersejarah dan religi
Kraton Kasunanan Surakarta,Keraton Surakarta Hadiningrat atau Keraton Surakarta adalah Istana resmi Kesunanan Surakarta Hadiningrat yang terletak di Kota Surakarta. Keraton ini didirikan oleh Sri Susuhunan Pakubuwana II pada tahun 1744 sebagai pengganti Keraton Kartasura yang porak-poranda akibat Geger Pecinan pada tahun 1743.,situs bersejarah dan religi
Wisata Baturaden,"Baturraden adalah sebuah kecamatan di Kabupaten Banyumas, Provinsi Jawa Tengah, Indonesia. Kecamatan ini berjarak sekitar 7,5 Km dari Kota Purwokerto ke arah utara. Pusat pemerintahannya berada di Desa Rempoah. Kecamatan ini terletak di lereng selatan Gunung Slamet dan merupakan kawasan wisata.",situs bersejarah dan religi
Waduk Jatibarang,"Waduk Jatibarang adalah salah satu waduk yang berada di Semarang yang baru di bangun sekitar tahun 2014 lalu. Pembangunan Waduk Jatibarang ini bertujuan untuk mengatasi luapan air akibat banjir yang berada di seluruh wilayah Semarang. Selain menjadi pusat pengendalian air ketika air mulai tinggi di suatu wiliayah, waduk ini juga berfungsi sebagai area wisata alam. Kemudian di tengah tengah Waduk Jatibarang ini juga ada sebuah pulau kecil yang juga menjadi destinasi wisata yaitu Goa Kreo.",wisata kota
Kampoeng Djadhoel Semarang,"Kampoeng Djadhoel merupakan kampung yang terletak di Kampung Batik Tengah, Rejomulyo, Semarang, Jawa Tengah. Letak kampung ini mudah dijangkau karena berada di sekitar Kota Lama. Kampung ini dilukis dengan berbagai warna dan bentuk variasi yang menarik. Dari depan kampung sampai masuk dalam gang-gang berubah menjadi lebih berwarna dengan padu padan warna yang serasi. Tidak hanya menonjolkan pada lukisan warna tetapi untuk menjadikan pengunjung lebih tertarik adalah penyediaan spot foto yang telah didesain dengan properti unik. ",wisata kota
Wisata Lereng Kelir,"Lereng Kelir adalah sebuah tempat wisata alam baru yang ada di Ambarawa, Jawa Tengah. Ambarawa sendiri memang sangat terkenal memiliki panorama alam yang masih sangat asri dan indah. Hal menarik yang bisa didapatkan dari tempat ini adalah Spot Foto, hiking yang menantang, hutan pinus, dan camping ground.",pegunungan dan pedesaan
Dieng Plateau,"Dihyang merupakan kawasan budaya dan pegunungan di pulau Jawa di provinsi Jawa Tengah. Mencakup wilayah agraris yang memiliki iklim tropis dengan tingkat curah hujan tinggi. Karena terletak pada ±2.000 meter di atas permukaan laut dan dihimpit oleh pegunungan, sehingga udaranya cukup dingin.",pegunungan dan pedesaan
Pulau Panjang Jepara,"Pulau Panjang adalah pulau kecil yang berjarak 2.4 km dari Pantai Kartini, Kabupaten Jepara. Pulau ini memiliki sebuah mercusuar yang terletak di bagian barat dan tempat berpopulasi seperti dermaga dan masjid terletak di bagian timur, sementara bagian tengahnya adalah hutan tropis.",wisata air
Kampung Pelangi,"Kampung Pelangi berada di belakang Pasar Kembang Kalisari, Semarang. Kampung ini memiliki warna-warni yang sangat eye-catching. Bukan cuma tembok rumah yang dipenuhi warna tetapi juga atap dan tiap sudut jalanan kampung.",wisata kota
Wisata Mangrove Tapak,"Hutan Mangrove Tapak terletak di Desa Tapak Kelurahan Tugurejo, Kecamatan Tugu, Kota Semarang. Wisata mangrove ini sekaligus menjadi salah satu upaya menyelamatkan pesisir yang semakin tergerus kepentingan bisnis. Prihatin dengan kondisi lingkungan desanya, penduduk setempat berupaya menyelamatkan lingkungannya. Ada 2 program utama yang mereka lakukan, yaitu pembuatan APO (alat pemecah ombak) dan penanaman mangrove di sepanjang pesisir desa dan pinggir Kali Tapak.",wisata air
Taman Nasional Karimunjawa,"Taman Nasional Karimunjawa adalah sebuah taman nasional yang terletak di utara pulau Jawa. Wilayah taman nasional ini berada dalam administrasi Kabupaten Jepara. Pengelolaanya terdiri dari zona inti, zona perlindungan dan zona pemanfaatan.",wisata kota
Ketep Pass,"Ketep Pass adalah nama sebuah objek wisata di Ketep, Sawangan, Magelang, Jawa Tengah. Ketep Pass ini merupakan objek wisata alam yang dikembangkan dengan ciri khas wisata kegunungapian, khususnya Gunung Merapi.Pada tanggal 17 Oktober 2002, Ketep Pass diresmikan sebagai kawasan wisata jalur Solo–Selo–Borobudur (SSB) oleh Presiden ke-5 Republik Indonesia, Megawati Soekarnoputri.",wisata kota
Masjid Agung Ungaran,"Masjid Agung Al-Mabrur di Ungaran ini merupakan Masjid Agung bagi kabupaten Semarang. Sebagai masjid agung kabupaten, masjid Agung Al-Mabrur di Ungaran ini menjadi pusat aktivitas ke-Islaman tingkat kabupaten Semarang. Masjid Agung Al-Mabrur juga menyelenggarakan pendidikan untuk anak anak melalui Taman Pendidikan Al-Qur’an. ",situs bersejarah dan religi
Nol Kilometer Yogyakarta,"Titik nol kilometer di Yogyakarta merupakan kawasan yang kerap dikunjungi wisatawan lantaran lokasinya dekat dengan beberapa tempat wisata. Tidak hanya itu, titik nol kilometer juga memiliki beberapa bangunan kuno dan suasana vintage yang membuat pengunjung senang berjalan-jalan di sana. Salah satu bangunan kuno di sana adalah Kantor Pos Besar Yogyakarta atau juga dikenal sebagai Kantor Pos Titik Nol. Kantor Pos Besar Yogyakarta memiliki gaya arsitektur khas Hindia Belanda yang dapat dilihat dari lucarne atau jendela kecil di kemiringan atap. Selain berfungsi sebagai ventilasi aliran udara, jendela tersebut juga berfungsi sebagai hiasan gedung.",wisata kota
Air Terjun Kedung Pedut,"Air terjun Kedung Pedut merupakan salah satu keindahan nan eksotis dari kulonprogo Yogyakarta. Beberapa fasilitas pun sudah dibangun di kawasan ini seperti : kursi, jembatan dari kayu, warung-warung penjual makanan, musholla, toilet, dan ruang ganti dan masih banyak lagi. Meskipun belum lama di buka yaitu baru mulai tahun 2015, Air terjun kedung pedut ini mempunyai keunikan yang menjadi daya tarik tersendiri. Air yang jernih dan perpaduan warna tosca dan putih mampu memanjakan mata kita.",pegunungan dan pedesaan
Kraton Yogyakarta,"Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Arsitek kepala istana ini adalah Sultan Hamengkubuwana I, pendiri Kesultanan Ngayogyakarta Hadiningrat. Dahulu bagian utama istana, dari utara keselatan, dimulai dari Gapura Gladhag di utara sampai di Plengkung[8] Nirboyo di selatan. Kini, bagian-bagian utama keraton Yogyakarta dari utara ke selatan adalah: Gapura Gladag-Pangurakan, Kompleks Alun-alun Ler dan Masjid Gedhe, Kompleks Pagelaran, Kompleks Siti Hinggil Ler, Kompleks Kamandhungan Ler, Kompleks Sri Manganti, Kompleks Kedhaton, Kompleks Kamagangan, Kompleks Kamandhungan Kidul, Kompleks Siti Hinggil Kidul, serta Alun-alun Kidul dan Plengkung Nirbaya yang biasa disebut Plengkung Gadhing.",situs bersejarah dan religi
Pantai Indrayanti,"Pantai Indrayanti merupakan pantai cantik yang berada di Gunungkidul, Yogyakarta. Tak jauh dari pantai ini, ada deretan pantai lain yang tak kalah cantiknya seperti Pantai Omandeng, Sundak, Ngadong, dan Sadranan yang berlokasi tepat di sebelah timur. Pantai Indrayanti menawarkan pemandangan khas laut pantai selatan yang luas dengan air yang jernih. Pasir pantainya pun putih bersih, cocok buat main pasir. Pemandangan terbaik Pantai Indrayanti tak hanya saat sunset saja, tapi pada pagi hari pantai ini malah menawarkan suasana yang sejuk. Bukit-bukit di belakang garis pantai menjadi daya tarik tersendiri dengan deburan ombak.",wisata air
Candi Ijo,"Candi Ijo adalah sebuah kompleks percandian bercorak Hindu, berada 4 kilometer arah tenggara dari Candi Ratu Boko atau kira-kira 18 kilometer di sebelah timur kota Yogyakarta. Kompleks percandian Ijo dibangun pada punggungan bukit yang disebut Gumuk/Bukit Ijo. Secara keseluruhan, kompleks candi merupakan teras-teras berundak, dengan bagian terbawah di sisi barat dan bagian tertinggi berada pada sisi timur, mengikuti kontur bukit.  Fasilitas yang ada disini antara lain toilet, area parkir, pos penjagaan, gazebo, dan spot foto yang menarik.",situs bersejarah dan religi
Hutan Pinus Pengger,"Hutan Pinus Pengger Sendangsari merupakan kawasan hutan pinus yang masih alami dan asri. Area perbukitan yang menjadi salah satu destinasi wisata malam dan banyak menarik minat kalangan muda-mudi. Fasilitas yang ada di tempat ini antara lain mushola, area parkir, toilet, gazebo, warung hingga arena bermain lainnya.",pegunungan dan pedesaan
Candi Prambanan,"Candi Prambanan adalah candi Hindu terbesar di Indonesia sekaligus salah satu candi yang terindah di Asia Tenggara. Menurut prasasti Siwagrha, candi ini mulai dibangun pada masa pemerintahan Rakai Pikatan (pertengahan abad ke-9) dari Kerajaan Mataram Kuno. Diperkirakan ada 240 candi besar dan kecil di kompleks Candi Prambanan. Namun, hanya 18 candi yang berhasil dipugar, sisanya adalah tumpukan batu yang berserakan. Fasilitas Candi Prambanan sudah sangat lengkap bagi bagi para wisatawan yang mengunjungi Candi ini, diantaranya terdapat mushola, papan informasi, toko souvenir, restoran, gazebo, tempat parkir, toilet, guide, golf cart, dan spot-spot foto.",situs bersejarah dan religi
Gembira Loka Zoo,"Gembira Loka merupakan tempat yang tepat untuk berwisata bersama keluarga. Tak hanya bisa mencoba berbagai wahana permainan dan menyaksikan tingkah aneka satwa. Satwa yang ada antara lain gajah Sumatra, kuda nil, rusa Jawa, unta, simpanse, orangutan, beruang madu, dan Wallaby. Fasilitas yang disediakan antara lain Sentral Servis, stroller bayi, akses wifi internet, Food Court, kursi roda, gelang anak, mushola dan masjid.",wisata kota
The Lost World Castle,"The Lost World Castle merupakan salah satu objek wisata di kawasan lereng Gunung Merapi yang terletak di Daerah Istimewa Yogyakarta. Objek wisata ini dibangun menyerupai Benteng Takeshi dan dibangun di atas lahan 1,3 hektare pada tahun 2016. Fasilitas yang disediakan antara lain area parkir, kamar mandi, mushola, dan penginapan.",pegunungan dan pedesaan
Puncak Segoro,"Puncak Segoro merupakan salah satu tempat wisata Jogja yang menyediakan villa, Spot foto dan juga resto yang tentunya mempunyai pemandangan alam menakjubkan. Wisata Puncak Segoro Jogja ini juga mempunyai berbagai fasilitas umum yang cukup lengkap, contohnya saja seperti terdapat area parkir yang cukup luas, toilet, dan tidak lupa juga terdapat mushola.",pegunungan dan pedesaan
Bukit Wisata Pulepayung,"Pule Payung Kulon Progo Yogyakarta merupakan wisata alam dengan spot foto instagramable. Tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto-foto unik karena memiliki banyak spot foto menarik. Fasilitas yang disediakan seperti paket tour yang terdiri dari tiga pilihan, yaitu gold, silver, bronze, dan paket empat. Fasilitas lainnya antara lain musala, gazebo, tempat bersantai, pendopo amerta. Selain itu, terdapat juga toko oleh-oleh yang menyediakan item khas Yogyakarta.",pegunungan dan pedesaan
Desa Wisata Sungai Code Jogja Kota,"Desa Wisata Sungai Code Jogja merupakan sebuah Kampung di Bantaran Sungai Code, di bawah Jembatan Sarjito, Yogyakarta. Keunikan Kampung Code diakui para arsitek dunia. Pada tahun 1992, Kampung Code diganjar penghargaan Aga Khan Award for Architecture, sebuah penghargaan internasional di bidang arsitektur. Struktur tiang unik berbentuk huruf A di setiap rumah Kampung Code, dan model gotong royong warga dalam menuntaskan proyek ini membuat para arsitek dunia jatuh cinta. Kampung Code adalah bangunan yang mewakili budaya gotong royong dan harmonis masyarakat Yogyakarta. ",pegunungan dan pedesaan
Kampung Wisata Taman Sari,Kampung wisata Tamansari merupakan sebuah kampung yang sangat strategis karena lokasinya berada di kawasan Obyek Wisata Tamansari ( Water Castle ) dan berada dalam kawasan besar Kraton Kasultanan Yogyakarta. Kampung ini memiliki fungsi sebagai penyangga kawasan Obyek Wisata Tamansari dan Kraton Yogyakarta. Kampung Tamansari sesuai data dan informasi yang bersumber baik dari pihak kraton maupun balai pelestarian bangunan dan cagar budaya konon merupakan danau yang cukup luas (segara anakan) yang dilengkapi dengan parit (sungai buatan) dari Tamansari menuju ke bangunan pusat kraton melalui segaran.,pegunungan dan pedesaan
Jurang Tembelan Kanigoro,"Jurang Tembelan Kanigoro merupakan sebuah destinasi wisata yang menyuguhkan pemandangan alam. Daerah ini cukup terkenal dengan spot fotonya yang terletak di tepi jurang. Beberapa spot foto yang dimaksud antara lain Hutan Pinus Mangunan, Songgo Batu Langit, Gardu Pandang Pinus Asri, hingga Tebing Watu Mabur.",pegunungan dan pedesaan
De Mata Museum Jogja,"De Mata Museum Jogja merupakan sebuah destinasi wisata yang berupa museum. Museum ini berada di XT Square atau juga bekas terminal ini, ada di Jalan Veteran Nomor 150 – 151, Umbulharjo. Bisa dibilang tempat ini adalah pelopor berdirinya museum 3 Dimensi di Indonesia. Ada sekitar 200 gambar 3 Dimensi yang bisa dinikmati dan juga dipotret pengunjung. Pada akhir tahun 2014, muncul museum De Arca berisi patung 5 dimensi dari tokoh-tokoh yang terkenal.",situs bersejarah dan religi
Watu Lumbung,"Kampung Edukasi Watu Lumbung bisa jadi pilihan untuk liburan. Berlokasi di Bukit Parangtritis, Kretek, Bantul, Yogyakarta, Watu Lumbung menawarkan keindahan pemandangan khas pinggiran Yogyakarta sekaligus wisata edukasi yang tak terlupakan. Kampung Edukasi Watu Lumbung didirikan tahun 2003 oleh Muhammad Boy Rifai yang sejak awal ingin memberdayakan dan membantu perekonomian masyarakat sekitar melalu sector pariwisata. Kawasan ini memiliki beberapa area seperti area outbond, perpustakaan, warung santai, taman bermain anak, flying fox, dan sebagainya. Kampung Edukasi Watu Lumbung didirikan di tengah area perkebunan pohon jati. Konsep alam juga melekat di kontruksi bangunan di kawasan ini. Penggunaan bambu digunakan untuk membuat gubuk santai diantara pohon-pohon jati. Beberapa bangunan berupa rumah pohon dibuat hingga tiga lantai dengan batang pohon jati yang masih hidup sebagai tiang penopangnya.",situs bersejarah dan religi
Sindu Kusuma Edupark (SKE),"Sindu Kusuma Edupark (SKE) merupakan sebuah destinasi rekreasi yang terletak di Jogjakarta. Tempat ini menyediakan bermacam-macam wahana, baik wahana bermain maupun wahana belajar. Wahana yang paling terkenal dari SKE adalah bianglalanya, yang merupakan sebuah wahana bermain sekaligus ikon SKE sendiri. Selain itu terdapat juga wahana dan edukasi lain seperti terapi ikan, kora-kora, kopi dan roti puter, montor tumbur, disaster room, miniatur candi borobudur, dan kursi mabur.",situs bersejarah dan religi
Pasar Beringharjo,"Pasar Beringharjo adalah pasar tertua dengan nilai historis dan filosofis yang tidak dapat dipisahkan dengan Keraton Yogyakarta. Ada banyak jenis barang yang dapat dibeli di Pasar Beringharjo, mulai dari batik, jajanan pasar, uang kuno, pakaian anak dan dewasa, makanan cepat saji, bahan dasar jamu tradisional, sembako hingga barang antik.",wisata kota
Bukit Kapur Arosbaya,"Jika tebing kapur biasanya berwarna putih, bukit kapur yang satu ini, Arosbaya justru berwarna bata kemerah-merahan. Pemandangan Bukit Kapur Arosbaya nampak indah dengan relief tak beraturan. Gradasi warna putih kapur dan kecokelatan membuat tebing-tebingnya nampak memukau.Bukit Arosbaya dulunya merupakan tempat penambangan kapur tulis. Namun kini, sudah tidak beroperasi lagi. Tanpa disadari bekas penambangan ini membentuk relief yang menawan. Membuat bekas tambang kapur ini menjadi lokasi wisata.",situs bersejarah dan religi
Museum Sepuluh Nopember Kota Surabaya,"Museum Sepuluh Nopember merupakan sebuah peninggalan sejarah dimana ini dibangn untuk memperingati peristiwa pertempuran 10 Nopember Surabaya. Monumen ini berada di tengah kota surabaya dan menjadi ikon kota surabaya. Fasilitas yang tersedia, antara lain : ruang diorama elektronik, ruang auditorium, ruang perpustakaan, ruang diorama, ruang Kidzone dan Laktasi , musholla, parkir area, public space (lapangan), dan AC.",situs bersejarah dan religi
Masjid Muhammad Cheng Hoo,"Masjid Raya Cheng Ho Surabaya adalah sebuah Masjid bernuansa Muslim Tionghoa yang berlokasi di Surabaya. Masjid ini didirikan atas prakarsa para sesepuh, penasehat, pengurus PITI, dan pengurus Yayasan Haji Muhammad Cheng Ho Indonesia Jawa Timur serta tokoh masyarakat Tionghoa di Surabaya. Masjid ini menyerupai kelenteng (rumah ibadah umat Tri Dharma). Masjid ini didominasi warna merah, hijau, dan kuning. Ornamennya kental nuansa Tiongkok lama. Pintu masuknya menyerupai bentuk pagoda, terdapat juga relief naga dan patung singa dari lilin dengan lafaz Allah dalam huruf Arab di puncak pagoda. Di sisi kiri bangunan terdapat sebuah beduk sebagai pelengkap bangunan masjid. ",situs bersejarah dan religi
Kenjeran Park,"Kenjeran Park merupakan sebuah kawasan yang tertata rapi dan indah. Kawasan wisata ini dekat dengan jembatan Suramadu. Kawasan ini dikelola oleh pihak swasta yang berupaya menghadirkan universal studio melalui Atlantis Land Kenjeran Park. Terdapat banyak spot foto seperti, tempat peribadatan Budha dan Konghucu yaitu Pagoda Tian Ti, Patung Budha Empat Wajah, Klenteng Sanggar Agung dan Patung Dewi Kwan Im.",wisata kota
Goa Si Golo Golo,"Goa Sigolo Golo merupakan wisata alam yang berlokasi di Dusun Kraten, Desa Panglungan, Kecamatan Wonosalam, Jombang Jawa Timur. Wisata ini cukup popoler di kalangan warga Jombang karena pesona keindahannya bak muncak di Machu Picchu Peru dan juga cerita mistis yang melekat. Wisata alam yang menampilkan tidak hanya pesona keindahan goa, tetapi keindahan alam sekitar menjadi daya tarik tersendiri untuk datang menikmati sembari menghilangkan penat para wisatawan.",pegunungan dan pedesaan
Museum De Javasche Bank,"Museum De Javasche Bank merupakan sebuah museum yang memiliki tiga lantai dan menampilkan sejarah sistem perbankan di Indonesia, foto-foto lama dari Surabaya dan juga koleksi mata uang kuno. Tampilan museum dibagi menjadi tiga ruang yaitu Ruangan Koleksi Mata Uang Lama, Ruangan Koleksi dari Konservasi, dan Ruangan Koleksi Harta Budaya. ",situs bersejarah dan religi
Surabaya North Quay,"Surabaya North Quay sebenarnya adalah terminal bagi kapal pesiar mewah yang bersandar. Namun, tempat ini sengaja dibenahi supaya dapat menjadi tempat wisata bagi warga Surabaya dan sekitarnya. Lautan lepas dengan kapal pesiar mewah yang bersandar di terminal ini, menjadi daya tarik utamanya.",wisata air
Taman Buah Surabaya,"Wisata Taman Buah Undaan di Surabaya adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Di tempat ini pengujung dapat Wisata Taman Buah Undaan di Surabaya adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Selanjutnya terdapat tempat duduk berbentuk buah-buah. Ada 3 tempat duduk berbentuk buah ; buah pisang, buah pepaya dan buah blimbing. Fasilitas dan pelayanan yang disediakan antara lain area parkir kendaraan, mushola, kamar mandi, rumah makan, dan masih banyak lainnya.",wisata kota
Rumah Batik Jawa Timur,"Rumah Batik Jawa Timur atau yang lebih sering disebut dengan Rumah Batik Surabaya tersimpan banyak sekali jenis motif kain batik. Awalnya Rumah Batik Jawa Timur merupakan sebuah showroom bernama Istana Madura. Pemilik, yang merupakan seorang pengrajin batik juga asal Madura, maka ia membangun Rumah Batik dengan tujuan untuk koleksi hasil karyanya sendiri. Tidak hanya melihat aneka motif kain batik, pengunjung yang datang kesini juga bisa membeli kain-kain batik tersebut. Rumah Batik Jawa Timur menyediakan beberapa fasilitas untuk pengunjung seperti area parkir, kamar mandi, area istirahat, tempat pembuatan batik, dan lain sebagainya",wisata kota
Air Terjun Srambang,"Air terjun Srambang merupakan salah satu objek wisata di Kabupaten Ngawi yang berupa air terjun. Berlokasi di kaki gunung Lawu, Kecamatan Jogorogo, sekitar 5 km ke selatan dari pasar Jogorogo. Ketinggian air terjun ini hampir mencapai 25 m.",pegunungan dan pedesaan
Ekowisata Mangrove Wonorejoy,"Ekowisata Mangrove Wonorejo Surabaya ini merupakan kawasan konservasi alam untuk mencegah abrasi di wilayah timur Kota Surabaya. Sesuai dengan konsep ekowisata, destinasi ini menggabungkan wisata rekreasi dan edukasi. Humas Ekowisata Mangrove Wonorejo David NR menjelaskan, wilayah ini terdiri dari dua kawasan utama, yakni lintasan jogging (jogging track) dan hutan mangrove.",wisata air
Taman Kunang-Kunang,"Taman Kunang-Kunang merupakan taman yang berada dalam kawasan Miniatur Halimun dan merupakan rumah bagi ribuan kunang-kunang. Selain sebagai zona konservasi, lokasi yang menjadi Taman kunang-kunang ini merupakan zona pendidikan dan wisata minat khusus. Semua hal yang mendukung pelestarian serangga tersebut seperti tingkat vegetasi, bahan-bahan organik, serta keberadaan anak sungai Ciliwung terus dipertahankan keasliannya.",wisata kota
